,Albania,Austria,Belarus,Belgium,Belgium-Luxembourg,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,Czechoslovakia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Republic of Moldova,Romania,Russian Federation,Serbia,Serbia and Montenegro,Slovakia,Slovenia,Spain,Sweden,Switzerland,Ukraine,United Kingdom of Great Britain and Northern Ireland,USSR,Yugoslav SFR
1980,15000.0,329932.0,,,329700.0,,394280.0,,,278209.0,115000.0,,12000.0,2902000.0,2395094.0,288217.0,1016585.0,8900.0,1936700.0,,,,390.0,,470000.0,,44795.0,844106.0,127644.0,,391500.0,,,,,,931100.0,119026.0,340000.0,,357200.0,5090000.0,483000.0
1981,15000.0,243199.0,,,133700.0,,433142.0,,,167427.0,43296.0,,16000.0,1437000.0,1285644.0,337091.0,1232428.0,6500.0,1741600.0,,,,300.0,,260000.0,,53824.0,779693.0,97000.0,,525389.0,,,,,,1062600.0,145450.0,243000.0,,231800.0,6334000.0,508000.0
1982,23000.0,428819.0,,,270300.0,,425780.0,,,503723.0,59462.0,,16000.0,1977000.0,3417125.0,264747.0,1278919.0,9000.0,2602700.0,,,,370.0,,440000.0,,43673.0,2125690.0,104800.0,,744835.0,,,,,,891700.0,129523.0,542000.0,,363100.0,7400000.0,746000.0
1983,21000.0,326547.0,,,203416.0,,467588.0,,,426694.0,47159.0,,16000.0,1965000.0,2097458.0,308002.0,1140627.0,10350.0,2032200.0,,,,400.0,,364000.0,,50646.0,1729491.0,115280.0,,755382.0,,,,,,1075500.0,133000.0,242000.0,,311500.0,8085000.0,557000.0
1984,21000.0,353195.0,,,230850.0,,525984.0,,,378219.0,54376.0,,12000.0,2868000.0,2347783.0,303725.0,1088172.0,13692.0,2210400.0,,,,400.0,,388000.0,,47564.0,1564430.0,86460.0,,707810.0,,,,,,1028300.0,121000.0,384000.0,,346600.0,7200000.0,584316.0
1985,18200.0,293152.0,,,221125.0,,336124.0,,,379377.0,45105.0,,15000.0,2349000.0,2206203.0,261532.0,953597.0,10960.0,2014100.0,,,,400.0,,270000.0,,63704.0,1343142.0,95100.0,,699100.0,,,,,,1069971.0,136100.0,278000.0,,305400.0,7235000.0,367645.0
1986,15000.0,368585.0,,,269660.0,,543256.0,,,467689.0,40201.0,,15000.0,2738000.0,2902106.0,275311.0,1252938.0,9800.0,2019530.0,,,,410.0,,400000.0,,32413.0,1920051.0,238560.0,,994400.0,,,,,,817400.0,134000.0,393000.0,,302600.0,7940000.0,637327.0
1987,16000.0,263532.0,,,236300.0,,339177.0,,,307781.0,26492.0,,12000.0,2388000.0,1592954.0,301523.0,1064414.0,10400.0,2235950.0,,,,420.0,,340000.0,,46408.0,504428.0,249775.0,,594200.0,,,,,,1043000.0,86000.0,240200.0,,284672.0,5442000.0,423000.0
1988,14000.0,413049.0,,,271600.0,,334463.0,,,467808.0,45000.0,,14000.0,2582000.0,3164425.0,300110.0,1130786.0,10400.0,2331690.0,,,,420.0,,363000.0,,51884.0,1392946.0,241880.0,,609400.0,,,,,,867600.0,130000.0,492000.0,,268400.0,5913000.0,518185.0
1989,18000.0,321264.0,,,322400.0,,457875.0,,,552444.0,52000.0,,15000.0,2340000.0,2483089.0,311526.0,959074.0,11700.0,1924240.0,,,,430.0,,417000.0,,68866.0,1312026.0,265782.0,,697400.0,,,,,,810000.0,165000.0,311000.0,,447673.0,6273000.0,546015.0
1990,13100.0,337741.0,,,235100.0,,410915.0,,,349973.0,70000.0,,7000.0,2326000.0,2222019.0,348800.0,945455.0,10600.0,2050070.0,,,,435.0,,431000.0,,50000.0,812340.0,282521.0,,682152.0,,,,,,656500.0,150000.0,397800.0,,309059.0,6034000.0,522812.0
1991,10000.0,276848.0,,,140575.0,,145060.0,,,434898.0,55000.0,,5500.0,1283211.0,780800.0,242000.0,859195.0,10300.0,1830170.0,,,,440.0,,260000.0,,20607.0,1145544.0,263350.0,,504888.0,,,,,,516800.0,17000.0,181800.0,,323220.0,4705000.0,428351.0
1992,10000.0,268719.0,357000.0,,502320.0,27200.0,221202.0,62212.0,,294798.0,83000.0,21531.0,9000.0,2371861.0,1377800.0,384900.0,665828.0,8100.0,2394131.0,51000.0,96000.0,,300.0,,640000.0,87642.0,14834.0,1569690.0,281033.0,393500.0,541145.0,1787000.0,,204000.0,,58399.0,1095400.0,17000.0,438313.0,1147759.0,389400.0,,
